"","SPECIES","COMMON","SCIENTIFIC","CONVERSION"
"178","4657","TUNA,BIGEYE","Thunnus obesus",1.25
"179","0190","NEEDLEFISH,ATLANTIC","Strongylura marina",1.4
"180","1480","HADDOCK,UNC","Melanogrammus aeglefinus",1.12
"181","3501","SHARK,PORBEAGLE","Lamna nasus",1.39
"182","3380","SEA CATFISH","Ariidae",1.12
"183","7280","LOBSTER,SLIPPER(BULLDOZER)","Scyllaridae",3.04
"184","2250","MOJARRAS","Gerreidae",1
"185","2501","ESCOLAR","Lepidocybium flavobrunneum",1
"186","1429","CONEY","Epinephelus fulvus",1.18
"187","1805","JACK,BLACK","Caranx lugubris",1.04
"188","1082","DRUM,RED","Sciaenops ocellatus",1.14
"189","1320","FRIGATE MACKEREL","Auxis thazard",1
"190","3299","PORGY,LONGSPINE","Stenotomus caprinus",1.04
"191","3375","SEA BASS,BANK","Centropristis ocyurus",1.18
"192","0150","BALLYHOO","Hemiramphus brasiliensis",1
"193","7240","HORSESHOE CRAB","Limulus polyphemus",1
"194","2502","OILFISH","Ruvettus pretiosus",1.04
"195","3310","PORGY,LITTLEHEAD","Calamus proridens",1.04
"196","3509","SHARK,THRESHER","Alopias vulpinus",1.39
"197","4480","TILEFISH,UNCLASSIFIED","Malacanthidae",1.12
"198","2760","PUFFERS","Tetraodontidae",1.12
"199","1211","FLOUNDER,ATLANTIC,SUMMER,UNC    (FLUKE)","Paralichthys dentatus",1.15
"200","4265","SURGEONFISHES","Acanthuridae",1.72
"201","3514","SHARK,DUSKY","Carcharhinus obscurus",1.39
"202","3512","SHARK,WHITE","Carcharodon carcharias",1.39
"203","2177","MARLIN,WHITE","Tetrapturus albidus",1
"204","1418","GROUPER,BROOMTAIL","Mycteroperca xenarcha",1.18
"205","2580","PIGFISH","Orthopristis chrysoptera",1.04
"206","2710","POMFRETS","Bramidae",1
"207","0010","ALEWIFE","Alosa",1
"208","3480","SHARK,NURSE","Ginglymostoma cirratum",1.39
"209","2750","PORKFISH","Anisotremus virginicus",1.04
"210","3410","SEA ROBINS","Triglidae",1.12
"211","8030","SQUIDS,UNC","Loliginidae",1
"212","0145","SHORT BIGEYE","Pristigenys alta",1.04
"213","4500","TOADFISHES","Batrachoididae",1
"214","1452","GRUNT,SAILORS CHOICE","Haemulon parra",1.04
"215","0300","BONEFISH","Albula vulpes",1
"216","7750","SNAILS(CONCHS)","Strombus",1
"217","2400","OCEAN PERCH,ATLANTIC (REDFISH)","Sebastes marinus",1.33
"218","7102","CRAB,GOLDEN","Geryon fenneri",1
"219","2180","MARLIN,UNC","Istiophoridae",1
"220","3575","SHARK,GRAY SMOOTHHOUND","Mustelus californicus",1.39
"221","3482","SHARK,SAND TIGER","Odontaspis taurus",1.39
"222","1447","GRUNT, COTTONWICK","Haemulon melanurum",1.04
"223","3502","SHARK,LONGFIN MAKO","Isurus paucus",1.39
"224","4180","STRIPED BASS,UNC","Morone saxatilis",1.14
"225","3650","SKATES","Rajidae",1.12
"226","3504","SHARK,BLUE","Prionace glauca",1.39
"227","3479","SHARK,SMALLTAIL","Carcharhinus porosus",1.39
"228","3026","SAILFISH","Istiophorus platypterus",1
